,title,text,date
0,엔비디아 주가 전망 시가총액 버블일까 실적 인공지능 가속기,"엔비디아 주가 전망 시가총액 버블일까 실적 인공지능 가속기 인공지능 AI열풍의 최전선에 있는 엔비디아는 1일간 시가총액 1위를 하고 다시 밀려났습니다. 최근들어서 거품이라는 이야기도 나오고 있죠. 과거 1999년 IT열풍이 한창일때, 나스닥 지수는 5000선까지 올랐었습니다. 그 거품의 중심에는 시스코가 있었죠. 닷컴 버블 붕괴 직전 시스코는 마이크로소프트(MSFT)...",8시간 전
1,"구글 알파벳 주가 전망, 1주만 사고 후회(feat. 배당금, 역투자, 인공지능)","배당금, 역투자, 인공지능) 투자를 하면 항상 후회를 하게되죠. 그때 샀어야해, 팔았어야해, 더 떨어지면 살걸 등.. 매 순간마다 선택에 따라 수익률이 크게 차이날 수 있기... 인공지능 테마가 정말 무서울정도로 긴시간 지속되고 있습니다. 구글은 계속 긴장하고 있다 구글이 지금처럼 상승하기까지 어려움이 없었던 것은 아닙니다. 2022년부터 정리해고를 해왔고...",2주 전
2,인공지능 삼성 노트북 갤럭시북4 엣지 가벼운 14인치 노트북 스펙 가격,오늘은 인공지능 더해진 14인치 노트북 갤럭시북4 엣지 가격 스펙을 간단히 소개해 드리겠습니다. 갤럭시북4 엣지 14인치 갤럭시북4 엣지는 14인치와 16인치 두 종류로 출시됐으며... 에 초점을 둔 기기답게 윈도우 코파일럿(Copilot) 버튼이 키보드에 배정되어 있습니다. 텍스트와 대략적인 스케치만 있으면 알아서 예술 작품을 완성시켜주는 Cocreator...,2일 전
3,[인공지능 개발자] 석사가 아닌 고졸도 취업이 가능한 루트,"인공지능 개발자 석사가 아닌 고졸도 취업이 가능한 루트 현재, IT 산업에서 가장 주목받고 있는 기술, AI(Artificial Intelligence)는 얼마 전까지만 하더라도, 유용한 기술인 건 맞지만... 하지만, 현재에는 관련 프로젝트를 수행하는 과정에서 활용할 수 있는 API, 라이브러리 등이 굉장히 많아졌고, 기술의 수준 또한 높기 때문에 과거에는 AI 프로젝트를 0%부터...",3주 전
4,"인공지능 VS 인간, 주식투자 대결 승자는? 로보어드바이저 투자 수익률 공개","인간과 인공지능(AI) 중 누가 더 투자를 잘할까요? AI는 빅데이터 분석, 머신러닝 알고리즘 등을 활용하여 인간보다 더 정확하고 수익성 높은 투자를 할 수 있다는 주장이... 'AI vs 인간' 주식 투자 대결 (2023년) ① 주최: 한국거래소 ② 참가자: 투자 플랫폼 10곳 vs 개인 투자자 100명 ③ 투자 기간: 6개월 ④ 투자 대상: KOSPI 200 지수 구성 종목 ⑤ 결과...",2024.05.10.
5,삼성전자 갤럭시북4 프로360 AI 인공지능 노트북 리뷰,"AI 인공지능 관련된 기능들을 확실히 쾌적하게 사용이 가능했습니다. 보통 가성비를 생각하여 적당한 사양에서 타협을 보고 구입을 할건데 지금까지 갤럭시북 프로를 구형부터... 키보드의 숫자키는 생산성을 높였고, 상단의 지문인식 전원키는 보안성 강화해서 인가된 사용자외엔 철저하게 배제 해주니 이같은 AI 활용하기 편리한 노트북이...",4주 전
6,애플 주가 인공지능 AI 아이폰 통화녹음 WWDC 내용 정리,"애플 주가 인공지능 AI 아이폰 통화녹음 WWDC 내용 정리 매년 6월이면 WWDC 가 열립니다. 매번 어떤 아이디어를 가지고 나타날까 궁금해지는데, 이번에는 애플도 AI 인공지능이라는 타이틀을 들고 나왔습니다. 드디어 애플도 시장에 참전하려는가 봅니다. 내용을 다 보진 못했지만 일부 확인후 요약본을 추가로 본 결과 애플이 어떤 생각으로 을 대하고...",2주 전
7,인공지능AI와 ETF투자하는 법 feat. 핀트 후기,"그 중 오늘은 AI 인공지능을 기반으로 투자에 투여하는 시간과 어려운 투자 의사결정을 대신해주고 개인 맞춤 포트폴리오 제공을 통해 자동으로 매수매수를 진행하는 [핀트] 에 대하여 알아보고자 한다. AI 투자 서비스 '핀트' 핀트는 모바일 1:1 맞춤형 간편투자 서비스로, 자체 개발한 투자 운용플랫폼 프레퍼스와 AI 간편투자 엔진 아이작이 개인의 투자...",2024.05.01.
8,앱제작 인공지능 기술이 비용을 확 낮춰드림,"하지만, 인공지능 기술로 앱제작을 하게 되면 이런 문제들을 전혀 신경 쓰지 않아도 됩니다. 인공지능 기술은 C, Java, Javascript 등 낡은 프로그램 언어와 똑같이 구현 대상에 아무런 제약이 없을 뿐만 아니라 표현 자유도(UI, UX)까지 매우 높으며 개발된 앱 제품은 오류 발생이 없습니다. Android, iOS 용 모바일 앱과 PC Windows, WebApp 프로그램까지 한 번에 제작할 수 있어...",6일 전
9,데이터베이스 뜻 인공지능 코딩 데이터분석 취업 빅데이터학원,"인공지능분석 기술은 요즘에 4차산업혁명 새로운 직업군중에 고액 연봉 복지 대우를 받을 수 있는 직무 입니다. 빅데이터학원 에서 요즘 AI 국비지원 수업이 가능한데 어떤... 요즘에는 이런걸 이용해서 마케팅 영업 , 새로운 신기술 사업에 응용 할 수 있기 때문에 취업 AI 분야가 떠오르고 있다는 것 입니다. 뜻 같은 경우도 비슷하다고 보시면...",4주 전
