거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"82,500",2008,2015,사직동,광화문스페이스본(101동~105동),12,10,94.51,9,11110,11
"60,000",1981,2015,당주동,롯데미도파광화문빌딩,12,22,149.95,145,11110,8
"130,000",2004,2015,내수동,킹스매너,12,8,194.43,110-15,11110,6
"105,000",2004,2015,내수동,경희궁의아침2단지,12,14,124.17,71,11110,8
"120,000",2003,2015,내수동,경희궁파크팰리스,12,24,146.33,95,11110,4
"17,000",2014,2015,연건동,이화에수풀,12,17,16.98,195-10,11110,8
"17,000",2014,2015,연건동,이화에수풀,12,18,16.98,195-10,11110,4
"57,000",2006,2015,명륜1가,렉스빌,12,29,106.98,19,11110,3
"44,000",1995,2015,명륜2가,아남1,12,1,84.8,4,11110,18
"52,000",1995,2015,명륜2가,아남1,12,10,84.9,4,11110,12
